Region,Census,Year,Total,Diesel,Gasoline,LPgas,OtherFuel
West,0,2016,2440000,1670000,540000,120000,110000
South,0,2016,1480000,940000,270000,200000,70000
Plains,0,2016,2770000,1860000,530000,150000,230000
Midwest,0,2016,3220000,2100000,470000,520000,130000
Atlantic,0,2016,1390000,830000,290000,170000,100000
West,0,2015,2480000,1640000,560000,160000,120000
South,0,2015,1560000,990000,290000,230000,50000
Plains,0,2015,2950000,2000000,600000,160000,190000
Midwest,0,2015,3660000,2390000,530000,570000,170000
Atlantic,0,2015,1650000,980000,320000,230000,120000
Atlantic,1,2012,2040000,1160000,460000,270000,150000
South,1,2012,1900000,1250000,350000,230000,70000
Midwest,1,2012,4580000,3200000,770000,480000,130000
Plains,1,2012,3900000,2700000,780000,170000,250000
West,1,2012,2980000,1990000,740000,150000,100000
